                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4893,                 2.7718,                 1.1521,                0.78575,                 0.3083,                0.36102,                0.18823,                  1.599,                 1.8837,                 1.0631,               0.070086,              0.0033238,              0.0033238
                      1,                 1.4372,                 1.9057,                 1.1108,                0.60879,                0.46382,                0.48789,                0.23045,                 1.6946,                 1.5964,                 1.0964,               0.039822,              0.0063935,              0.0063935
                      2,                 1.4385,                 1.6446,                 1.1113,                0.68601,                0.45324,                0.52265,                0.28509,                  1.549,                 1.5132,                 1.0539,              0.0092945,              0.0091992,              0.0091992
                      3,                 1.4514,                 1.6629,                 1.1164,                0.62903,                0.48744,                0.53277,                0.29553,                 1.5076,                 1.4457,                 1.0607,               0.008812,               0.008812,               0.008812
                      4,                 1.4335,                 1.5193,                 1.1179,                 0.6677,                0.49744,                0.55519,                0.31739,                 1.3749,                 1.3497,                  1.019,               0.008812,               0.008812,               0.008812
                      5,                 1.4514,                 1.4728,                 1.1304,                0.63929,                 0.5264,                0.55172,                 0.3043,                 1.4432,                 1.3584,                 1.0401,               0.008416,               0.008416,               0.008416
                      6,                 1.3756,                 1.3998,                 1.0944,                 0.6477,                0.52777,                0.57295,                0.30312,                 1.5499,                 1.2701,                 1.0738,                0.00802,                0.00802,                0.00802
                      7,                  1.391,                 1.3427,                 1.1036,                0.68753,                0.53857,                0.58901,                0.31692,                 1.4996,                  1.201,                 1.0485,               0.007624,               0.007624,               0.007624
                      8,                 1.3753,                 1.3052,                 1.0833,                0.72412,                0.52383,                0.59911,                0.30714,                  1.591,                 1.2466,                 1.0695,               0.007228,               0.007228,               0.007228
                      9,                 1.3543,                  1.292,                 1.0869,                0.67306,                0.55328,                0.58503,                0.32502,                  1.456,                  1.165,                 1.0271,               0.006832,               0.006832,               0.006832
                     10,                 1.3436,                 1.2626,                 1.0816,                0.68599,                0.52852,                 0.5749,                0.28898,                 1.6056,                 1.2182,                 1.0696,               0.006436,               0.006436,               0.006436
                     11,                 1.3493,                 1.2524,                 1.0733,                0.69993,                0.56201,                0.61791,                0.32297,                 1.5681,                 1.2139,                 1.0651,                0.00604,                0.00604,                0.00604
                     12,                 1.3259,                 1.2612,                 1.0699,                0.69684,                0.57496,                0.61862,                0.35104,                 1.4157,                 1.1176,                  1.018,               0.005644,               0.005644,               0.005644
                     13,                  1.271,                 1.1364,                 1.0482,                0.71248,                0.55812,                0.61414,                0.31866,                 1.5381,                 1.1361,                 1.0382,               0.005248,               0.005248,               0.005248
                     14,                 1.2703,                 1.1135,                 1.0505,                0.73826,                0.56497,                0.63094,                0.35747,                  1.374,                 1.0613,                  1.001,               0.004852,               0.004852,               0.004852
                     15,                 1.2583,                 1.1386,                 1.0433,                0.74083,                0.56592,                 0.6426,                0.34718,                 1.4446,                 1.0434,                 1.0243,               0.004456,               0.004456,               0.004456
                     16,                 1.2569,                 1.0786,                 1.0463,                0.75545,                0.59028,                0.66486,                0.37947,                 1.3463,                 1.0125,                0.98884,                0.00406,                0.00406,                0.00406
                     17,                 1.2235,                  1.036,                 1.0274,                0.73249,                0.59353,                0.64862,                0.35587,                 1.4214,                 1.0207,                0.99733,               0.003664,               0.003664,               0.003664
                     18,                 1.2088,                 1.0342,                 1.0238,                0.73726,                0.58805,                 0.6684,                0.37699,                 1.3281,                 1.0007,                0.97573,               0.003268,               0.003268,               0.003268
                     19,                 1.2096,                 1.0171,                  1.021,                0.77039,                 0.5843,                0.67488,                0.38414,                 1.3476,                0.96557,                0.98378,               0.002872,               0.002872,               0.002872
                     20,                  1.193,                 1.0003,                 1.0113,                0.76589,                0.58676,                0.67884,                0.38493,                 1.3508,                0.96498,                0.98001,               0.002476,               0.002476,               0.002476
                     21,                 1.1563,                0.98545,                0.99766,                0.81003,                0.56983,                0.67585,                0.37799,                 1.3516,                0.97763,                 0.9787,                0.00208,                0.00208,                0.00208
                     22,                 1.1652,                0.97853,                 1.0067,                0.72146,                0.59953,                0.66721,                0.39335,                 1.3036,                0.95852,                0.96893,               0.001684,               0.001684,               0.001684
                     23,                  1.167,                0.95871,                 0.9978,                0.77291,                0.60141,                0.68599,                0.39932,                 1.3054,                0.93404,                0.96361,               0.001288,               0.001288,               0.001288
                     24,                 1.1246,                0.94074,                0.99608,                0.74715,                0.60764,                0.69035,                0.39055,                 1.3406,                0.92519,                 0.9699,               0.000892,               0.000892,               0.000892
