                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.412,                 2.8252,                 1.1244,                0.63232,                0.27351,                0.30308,                0.18021,                 1.4297,                 1.8374,                 1.0313,               0.070075,               0.003325,               0.003325
                      1,                 1.3377,                 1.8476,                 1.0894,                0.38566,                0.38815,                0.38432,                0.21272,                 1.5523,                 1.5912,                 1.0792,               0.038757,                0.00534,                0.00534
                      2,                 1.3098,                 1.6639,                 1.0837,                0.47936,                0.43218,                 0.4156,                0.23418,                  1.487,                 1.4815,                 1.0578,              0.0061183,               0.006035,               0.006035
                      3,                 1.2935,                 1.5813,                 1.0762,                0.53675,                0.48248,                0.48673,                 0.2755,                 1.4149,                 1.3822,                 1.0314,                0.00406,                0.00406,                0.00406
                      4,                 1.3015,                 1.5287,                 1.0825,                0.56731,                0.50241,                0.52229,                0.27736,                   1.45,                 1.3378,                 1.0493,                0.00406,                0.00406,                0.00406
