                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4893,                 2.7718,                 1.1521,                0.78575,                 0.3083,                0.36102,                0.18823,                  1.599,                 1.8837,                 1.0631,               0.070086,              0.0033238,              0.0033238
                      1,                 1.4269,                  1.884,                 1.1043,                0.62813,                0.47093,                0.49825,                 0.2395,                  1.691,                 1.6134,                 1.0974,               0.039646,              0.0062178,              0.0062178
                      2,                 1.4379,                  1.619,                 1.1155,                0.68415,                  0.457,                0.51777,                0.27817,                 1.6063,                 1.4604,                  1.081,               0.008767,              0.0086717,              0.0086717
                      3,                 1.4207,                 1.6609,                 1.1173,                0.61911,                0.45759,                0.49802,                0.27108,                 1.5661,                 1.5203,                 1.0793,                0.00802,                0.00802,                0.00802
                      4,                 1.4171,                 1.5232,                  1.109,                0.64086,                0.49697,                0.53945,                0.30122,                  1.441,                 1.3593,                 1.0464,                0.00802,                0.00802,                0.00802
                      5,                 1.4418,                   1.47,                  1.123,                0.64434,                0.54952,                 0.5775,                0.33552,                 1.4136,                 1.3052,                 1.0387,                0.00736,                0.00736,                0.00736
                      6,                 1.3643,                 1.3985,                 1.0927,                 0.6813,                 0.5047,                0.55159,                0.29336,                 1.6003,                 1.3239,                 1.0991,                 0.0067,                 0.0067,                 0.0067
                      7,                 1.3585,                 1.3365,                 1.0926,                0.66465,                 0.5606,                0.58318,                0.31944,                 1.4836,                 1.2597,                  1.044,                0.00604,                0.00604,                0.00604
                      8,                 1.3508,                 1.2971,                  1.074,                0.73158,                0.52122,                0.59649,                0.32027,                   1.62,                  1.234,                 1.0894,                0.00538,                0.00538,                0.00538
                      9,                 1.3198,                 1.2624,                 1.0755,                0.72384,                0.54993,                0.60766,                0.32547,                 1.5489,                 1.1374,                 1.0672,                0.00472,                0.00472,                0.00472
                     10,                 1.2978,                 1.2272,                 1.0687,                0.74153,                0.54809,                0.62296,                0.35246,                 1.4336,                 1.1415,                 1.0163,                0.00406,                0.00406,                0.00406
                     11,                 1.2841,                 1.1938,                 1.0452,                0.67145,                0.59492,                0.62046,                0.33258,                 1.5216,                 1.1435,                 1.0323,                 0.0034,                 0.0034,                 0.0034
                     12,                 1.2652,                 1.2118,                 1.0486,                0.69423,                0.57056,                0.61418,                0.34279,                 1.4669,                 1.1048,                 1.0144,                0.00274,                0.00274,                0.00274
                     13,                 1.2167,                 1.1113,                 1.0283,                0.74107,                0.58016,                0.63892,                0.34109,                 1.5092,                 1.1418,                 1.0293,                0.00208,                0.00208,                0.00208
                     14,                 1.2007,                 1.0705,                 1.0252,                0.74351,                  0.586,                0.65302,                 0.3662,                 1.3897,                 1.0693,                0.98877,                0.00142,                0.00142,                0.00142
