                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4893,                 2.7718,                 1.1521,                0.78575,                 0.3083,                0.36102,                0.18823,                  1.599,                 1.8837,                 1.0631,               0.070086,              0.0033238,              0.0033238
                      1,                 1.4383,                 1.9001,                 1.1105,                0.62202,                0.47837,                0.49875,                0.24029,                 1.6815,                 1.6052,                 1.0972,               0.039756,              0.0063276,              0.0063276
                      2,                 1.4307,                 1.6065,                  1.108,                0.65048,                0.49239,                0.53978,                0.28837,                 1.6036,                 1.4536,                 1.0928,              0.0090967,              0.0090014,              0.0090014
                      3,                 1.4547,                  1.665,                 1.1192,                0.64126,                 0.4736,                0.52397,                0.29515,                 1.4851,                 1.4657,                 1.0466,               0.008515,               0.008515,               0.008515
                      4,                 1.4306,                 1.5283,                 1.1193,                0.63512,                0.49661,                0.52691,                0.30179,                 1.4422,                 1.4026,                 1.0469,               0.008515,               0.008515,               0.008515
                      5,                 1.4605,                 1.4763,                 1.1334,                0.67535,                0.49385,                0.53759,                0.29631,                 1.4314,                 1.3448,                 1.0367,                0.00802,                0.00802,                0.00802
                      6,                 1.3829,                 1.3815,                 1.1015,                0.66133,                0.50537,                0.53893,                  0.288,                 1.4929,                 1.2917,                 1.0472,               0.007525,               0.007525,               0.007525
                      7,                 1.3807,                 1.3818,                 1.0977,                0.66099,                0.54806,                0.57534,                0.32376,                 1.4503,                 1.3494,                  1.041,                0.00703,                0.00703,                0.00703
                      8,                 1.3667,                 1.3095,                 1.0806,                0.68972,                0.53153,                0.57602,                0.29034,                 1.6687,                 1.2505,                 1.1003,               0.006535,               0.006535,               0.006535
                      9,                 1.3389,                 1.2857,                 1.0823,                0.65802,                0.59071,                0.61322,                0.32293,                 1.5935,                 1.2034,                 1.0712,                0.00604,                0.00604,                0.00604
                     10,                 1.3378,                 1.2481,                 1.0805,                0.69258,                0.56712,                0.60577,                0.32314,                 1.5581,                 1.2159,                 1.0482,               0.005545,               0.005545,               0.005545
                     11,                  1.338,                 1.2229,                 1.0657,                0.71846,                0.56267,                0.60371,                0.32129,                 1.5052,                 1.1491,                 1.0451,                0.00505,                0.00505,                0.00505
                     12,                 1.3052,                 1.2264,                 1.0641,                0.73694,                0.55602,                0.61925,                0.32956,                 1.5049,                 1.1155,                 1.0365,               0.004555,               0.004555,               0.004555
                     13,                 1.2459,                 1.1173,                 1.0393,                0.71444,                0.56901,                0.60556,                0.31888,                 1.5516,                 1.0888,                 1.0461,                0.00406,                0.00406,                0.00406
                     14,                 1.2407,                 1.0933,                 1.0373,                0.72496,                0.57663,                0.63951,                0.36473,                 1.4107,                 1.0697,                 1.0064,               0.003565,               0.003565,               0.003565
                     15,                 1.2338,                 1.1209,                 1.0342,                0.73931,                0.58169,                0.65389,                0.36249,                 1.4221,                   1.04,                 1.0077,                0.00307,                0.00307,                0.00307
                     16,                 1.2265,                 1.0575,                 1.0352,                0.73099,                0.62243,                0.67047,                0.38085,                 1.3685,                 1.0122,                0.98588,               0.002575,               0.002575,               0.002575
                     17,                 1.1877,                 1.0191,                 1.0171,                0.76046,                0.58301,                0.65939,                  0.361,                 1.4513,                 1.0228,                 1.0013,                0.00208,                0.00208,                0.00208
                     18,                 1.1714,                 1.0186,                 1.0125,                0.74737,                0.61473,                0.66975,                0.38021,                 1.3496,                0.99679,                 0.9753,               0.001585,               0.001585,               0.001585
                     19,                 1.1801,                0.99436,                 1.0154,                0.70505,                0.63698,                0.66405,                0.38171,                 1.3442,                0.98033,                0.97686,                0.00109,                0.00109,                0.00109
